training
lr, dw 5e-05 1e-12
test tensor(0.1587, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1502, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1431, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1361, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1287, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1210, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1137, grad_fn=<MeanBackward0>) dev tensor(0.0011, grad_fn=<SelectBackward>)
test tensor(0.1091, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1025, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0971, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0912, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.0866, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0822, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
params,test_err, norm:  [ 0.88385925 -0.46634663] 0.008424445489409 11.905061257069129 11.905061257069129
params,test_err, norm:  [ 1.72630842 -0.21978288] 0.0013076792744204989 11.905061257069129 24.92879856338138
params,test_err, norm:  [ 1.92845125 -0.20471843] 0.000662554438904945 11.905061257069129 34.566857936175694
True [ 1.92845125 -0.20471843] 0.000662554438904945 11.905061257069129 48.60978882188911

