params,test_err, norm:  [ 0.67978389 -0.68875495] 0.012951041315414327 16.08838445522109 16.08838445522109
test tensor(0.0255, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0237, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0220, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0208, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0197, grad_fn=<MeanBackward0>) dev tensor(7.8138e-05, grad_fn=<SelectBackward>)
test tensor(0.0185, grad_fn=<MeanBackward0>) dev tensor(6.6668e-05, grad_fn=<SelectBackward>)
test tensor(0.0169, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0158, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0148, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0142, grad_fn=<MeanBackward0>) dev tensor(6.6945e-05, grad_fn=<SelectBackward>)
test tensor(0.0133, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1299, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1263, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1218, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1166, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1095, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1017, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0951, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0873, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0807, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0734, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0696, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0633, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0581, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0535, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0488, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0447, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.1568, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1483, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1403, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1329, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1234, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1144, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
